ID;Quartiere;Punto_arrivo_codificato;Mezzo_trasporto;Distanza_punto_raccolta_m;Orario_smistamento_24h;Orari_smistamento_numero;Numero_persone_nucleo;Numero_animali_domestici;Attività_correlate;Osservazioni_generali;Rsu;Organico;Pet;Vetro;Carta-Cartone;Alluminio;Batterie;Mappa_anonimizzata_link
1;Breganzona;ECOC01;Piedi;280;"14:00; 18:00";2;3;0;Approfitto del tragitto casa–bus per portare il sacco RSU;n/a;1;1;1;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
2;Breganzona ;ECOC01;Auto;2000;08:00;1;2;0;Vado alle 12:00-12:30 Perchè non c’è affluenza;"Polistirolo alla stampa. Non c’è ecocentro. A meno che non c’è sacco grande della spazzature; Visto che devo smaltire il verde porto anche il rosso all’ecocentro; Evito il sabato che vanno tutti";1;1;1;1;1;1;;https://doi.org/10.5281/zenodo.XXXXXXX
3;Breganzona;ECOP01;Piedi;0;10:00;1;1;0;Quando devo già uscire di casa per spesa, lavoro, etc, non ha una routine fissa.;n/a;1;;;;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
4;Canobbio;ECOP02;Piedi;450;20:00;1;1;0;n/a;n/a;;;1;;1;1;1;https://doi.org/10.5281/zenodo.XXXXXXX
5;Morbio;ECOP03;Piedi;450;16:00;1;4;1;"Uscire la sera portare fuori il cane
";n/a;1;1;1;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
6;Cadro;ECOP04;Bicicletta;2200;08:00;1;1;0;Casa - Lavoro;n/a;1;;1;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
7;Paradiso;ECOP05;Piedi;60;10:00;1;1;1;"Spesa; Weekend; Uscire a Cena";"Cassonetti vetro/alu hanno bisogno di buco più grande; Cassonetto di carta più grande per le grandi scatole; Buttare l’umido d’estate nei sacchi da 17L (i più piccoli) è uno spreco… la soluzione del singolo che butta giornalmente nei cestini in giro per la città; Sarebbe utile avere le altre plastiche oltre al PLA vicino agli ecopunti e non solo ecocentro";1;;0,5;0,5;1;0,5;;https://doi.org/10.5281/zenodo.XXXXXXX
8;Paradiso;ECOP06;Piedi;30;09:00;1;1;0;n/a;n/a;1;;;;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
9;Castagnola, Cassarate;ECOC02;Bici;300;08:00;1;4;0;"Porto umido prima di andare al lavoro
";n/a;;1;;;;;;https://doi.org/10.5281/zenodo.XXXXXXX
10;Lugano Centro;ECOP07;Mezzi Pubblici;290;08:00;1;2;0;"RSU Vetro Carta PLA Mattina mentre vado al lavoro; PET + Plastica alla Migros Lugano Centro, nel mentre faccio la spesa";n/a;1;1;1;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
11;Lugano Centro;ECOP08;Piedi;900;00:00;1;1;0;n/a;n/a;;;;;;0,25;;https://doi.org/10.5281/zenodo.XXXXXXX
12;Lugano Centro;ECOP09;Piedi;140;00:00;1;1;0;"Ne approfitto per prendere la posta o spostare auto (se l’ho lasciata in un parcheggio pubblico il sabato sera)
";n/a;1;;;0,5;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
13;Lugano Centro;ECOP10;Piedi;300;10:00;1;5;0;Viaggio;n/a;3 (+1 via Maggio);;;1;2;;;https://doi.org/10.5281/zenodo.XXXXXXX
14;Loreto;ECOP11;Auto;400;10:00;1;2;0;Andare a fare la spesa;n/a;2;;;1;;;;https://doi.org/10.5281/zenodo.XXXXXXX
15;Loreto;ECOP12;Bici;350;08:00;1;1;0;n/a;n/a;1;;;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
16;Besso ;ECOC01;Auto;2200;10:00;1;2;0;"Andiamo nel weekend, di passaggio per un’altra disposizione
";n/a;1;;;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
17;Besso;ECOP13;Piedi;160;06:00;1;1;2;Ascolto musica, mi stacco dal telefono.;"Ecopunto vicino ma i tre semafori per raggiungerlo sono estremamente lenti, mi passa la voglia; manca l'ALU; manca PET; manca Sagex (polistirolo)";1;;;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
18;Mendrisio;ECOP14;Piedi;100;08:00;1;1;0;Andare a lavoro;n/a;1;;;;;;;https://doi.org/10.5281/zenodo.XXXXXXX
19;Sementina;ECOP15;Piedi;280;18:00;1;1;3;Smaltisco prima di andare in palestra, è di strada.;Manca un attraversamento sicuro della strada;2;;0,25;0,5;;;;https://doi.org/10.5281/zenodo.XXXXXXX
20;Viganello;ECOP16;Piedi;60;08:00;1;4;0;Andando a lavoro;Lascio i sacchi di carta in cantina per riutilizzarli;0,5;;;0,5;0,5;0,5;;https://doi.org/10.5281/zenodo.XXXXXXX
21;Pregassona;ECOP17;Piedi;650;18:00;1;3;0;Ogni tanto dopo aver buttato passo dall’alti a comprare quello che manca a casa;Gelateria doppio gusto: spesso molti rifiuti lasciati fuori;;;1;;1;1;;https://doi.org/10.5281/zenodo.XXXXXXX
22;Pregassona;ECOP18;Piedi;30;08:00;1;2;2;"Di solito sono con i miei due cani
";;1;;;;;;;https://doi.org/10.5281/zenodo.XXXXXXX
23;Riva San Vitale;ECOP19;Piedi;700;20:00;1;2;0;Passeggiata;;1;1;1;1;1;;;https://doi.org/10.5281/zenodo.XXXXXXX
24;Pazzallo;ECOP20;Piedi;150;18:00;1;2;0;Mi informo sui social media;;1;;;1;;;;https://doi.org/10.5281/zenodo.XXXXXXX
